STATE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Alaska,Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Rep,Rep,Divided,Divided,Divided,Divided,Rep,Rep
Arizona,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Dem,Dem,Dem,Divided,Divided,Rep,Rep,Rep,Rep,Rep,Rep
California,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Dem,Divided(Split-Leg),Divided(Split-Leg),Dem,Dem,Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided,Dem,Dem
Connecticut,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Divided(Split-Leg),Divided,Dem,Dem
Delaware,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Florida,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Georgia,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Hawaii,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Dem,Dem,Dem,Dem,Divided,Divided,Divided,Divided,Dem,Dem
Indiana,Divided(Split-Leg),Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Iowa,Dem,Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Rep,Rep,Rep,Rep
Kansas,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Divided,Divided
Kentucky,Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Rep,Rep,Rep,Divided
Louisiana,Divided,Divided(Split-Leg),Rep,Rep,Rep,Rep,Rep,Divided,Divided,Divided,Divided
Maine,Dem,Rep,Rep,Divided,Divided,Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided,Dem,Dem
Maryland,Dem,Dem,Dem,Dem,Dem,Divided,Divided,Divided,Divided,Divided,Divided
Massachusetts,Dem,Dem,Dem,Dem,Dem,Divided,Divided,Divided,Divided,Divided,Divided
Michigan,Divided(Split-Leg),Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Divided,Divided
Minnesota,Divided,Divided,Divided,Dem,Dem,Divided(Split-Leg),Divided(Split-Leg),Divided,Divided,Divided,Divided
Mississippi,Divided,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Missouri,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Rep,Rep,Rep,Rep
Montana,Divided(Split-Leg),Divided,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Divided
Nebraska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada,Divided,Divided,Divided,Divided,Divided,Rep,Rep,Divided,Divided,Dem,Dem
New Hampshire,Dem,Divided,Divided,Divided(Split-Leg),Divided(Split-Leg),Divided,Divided,Rep,Rep,Divided,Divided
