,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2013,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.67,a,3.94,a,7.61,a,191.5,a,1.0,a,4.8,e
Alaska,2.86,a,3.62,a,6.48,a,56.6,a,-5.1,a,0.7,e
Arizona,1.99,a,3.29,a,5.29,a,275.2,a,0.7,a,6.6,e
Arkansas,2.80,a,4.39,a,7.18,a,114.3,a,2.8,a,3.0,e
California,1.35,a,3.30,a,4.65,a,"2,262.8",a,3.6,a,38.3,e
Colorado,1.80,a,2.97,a,4.77,a,288.3,a,3.3,a,5.3,e
Connecticut,1.35,a,3.57,a,4.92,a,246.6,a,-1.1,a,3.6,e
Delaware,2.70,a,3.12,a,5.82,a,60.7,a,-4.5,a,0.9,e
District of Columbia,0.00,a,2.25,a,2.25,a,114.9,a,-0.1,a,0.7,e
Florida,1.25,a,3.50,a,4.75,a,800.7,a,1.9,a,19.5,e
Georgia,1.93,a,3.75,a,5.67,a,460.6,a,1.5,a,10.0,e
Hawaii,4.51,a,0.00,a,4.51,a,75.8,a,0.9,a,1.4,e
Idaho,1.83,a,3.43,a,5.26,a,61.0,a,3.6,a,1.6,e
Illinois,1.11,a,3.83,a,4.95,a,739.6,a,0.5,a,12.9,e
Indiana,2.22,a,3.25,a,5.47,a,308.7,a,2.1,a,6.6,e
Iowa,1.98,a,4.33,a,6.31,a,160.3,a,-0.4,a,3.1,e
Kansas,1.78,a,4.20,a,5.98,a,143.2,a,0.0,a,2.9,e
Kentucky,2.92,a,3.49,a,6.41,a,182.4,a,1.8,a,4.4,e
Louisiana,1.69,a,3.39,a,5.08,a,229.0,a,-3.0,a,4.6,e
Maine,1.82,a,4.22,a,6.04,a,53.7,a,-0.7,a,1.3,e
Maryland,1.50,a,3.96,a,5.46,a,341.3,a,0.0,a,5.9,e
Massachusetts,1.34,a,3.32,a,4.67,a,454.3,a,0.1,a,6.7,e
Michigan,2.30,a,4.24,a,6.54,a,432.7,a,1.3,a,9.9,e
Minnesota,1.85,a,3.45,a,5.30,a,306.2,a,2.2,a,5.4,e
Mississippi,2.30,a,4.96,a,7.25,a,101.6,a,0.0,a,3.0,e
Missouri,1.38,a,3.88,a,5.26,a,277.9,a,1.2,a,6.0,e
Montana,2.01,a,3.99,a,6.00,a,43.1,a,1.0,a,1.0,e
Nebraska,1.72,a,3.94,a,5.66,a,107.6,a,2.7,a,1.9,e
Nevada,1.18,a,3.01,a,4.19,a,130.6,a,0.2,a,2.8,e
New Hampshire,1.48,a,3.90,a,5.39,a,70.2,a,1.6,a,1.3,e
New Jersey,1.67,a,4.54,a,6.21,a,533.7,a,0.7,a,8.9,e
New Mexico,2.72,a,4.31,a,7.04,a,88.4,a,-1.3,a,2.1,e
New York,0.91,a,4.65,a,5.56,a,"1,355.6",a,-0.2,a,19.6,e
North Carolina,2.04,a,3.31,a,5.35,a,455.5,a,1.3,a,9.8,e
North Dakota,2.03,a,2.70,a,4.73,a,53.9,a,2.3,a,0.7,e
Ohio,1.93,a,4.01,a,5.95,a,561.0,a,1.8,a,11.6,e
Oklahoma,2.10,a,3.17,a,5.27,a,182.6,a,2.4,a,3.9,e
Oregon,2.36,a,3.97,a,6.33,a,179.4,a,0.8,a,3.9,e
Pennsylvania,1.60,a,4.11,a,5.71,a,663.9,a,1.6,a,12.8,e
Rhode Island,1.73,a,4.23,a,5.96,a,53.2,a,0.9,a,1.1,e
South Carolina,2.76,a,4.26,a,7.02,a,183.0,a,2.0,a,4.8,e
South Dakota,1.57,a,3.09,a,4.66,a,44.8,a,0.4,a,0.8,e
Tennessee,1.59,a,3.07,a,4.67,a,292.8,a,1.1,a,6.5,e
Texas,1.50,a,3.31,a,4.81,a,"1,502.3",a,4.3,a,26.5,e
All states combined,1.65,a,3.65,a,5.30,a,"16,784.9",a,1.8,a,316.0,e
Utah,2.87,a,3.40,a,6.27,a,134.3,a,2.5,a,2.9,e
Vermont,3.37,a,5.31,a,8.68,a,29.1,a,-1.3,a,0.6,e
Virginia,1.85,a,3.52,a,5.37,a,455.1,a,0.4,a,8.3,e
Washington,1.81,a,2.88,a,4.69,a,419.3,a,2.6,a,7.0,e
West Virginia,3.26,a,4.51,a,7.78,a,71.0,a,1.1,a,1.9,e
Wisconsin,1.86,a,4.20,a,6.06,a,282.4,a,0.7,a,5.7,e
Wyoming,1.82,a,4.98,a,6.80,a,38.9,a,0.2,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
